Indnum,Group,Activity,Units,Consumption,Quality_of_Life_Importance__1_10,Name of Resource Used,Amount of Resource Used per Unit
970,1,Household heating < 70F,count,4.0,72.0,natural_gas,1.0
971,1,Household heating => 70F,hours,2.0,82.0,natural_gas,1.0
971,1,Household heating < 70F,hours,7.0,81.0,natural_gas,1.0
972,1,Household heating => 70F,count,4.0,81.0,natural_gas,1.0
972,1,Household heating < 70F,count,2.0,93.0,natural_gas,1.0
973,1,Household heating => 70F,hours,3.0,87.0,natural_gas,1.0
973,1,Household heating < 70F,hours,2.0,84.0,natural_gas,1.0
974,1,Household heating => 70F,count,1.0,76.0,natural_gas,1.0
974,1,Household heating < 70F,count,4.0,75.0,natural_gas,1.0
975,1,Household heating => 70F,hours,5.0,71.0,natural_gas,1.0
975,1,Household heating < 70F,hours,3.0,62.0,natural_gas,1.0
976,1,Household heating => 70F,count,3.0,80.0,natural_gas,1.0
976,1,Household heating < 70F,count,1.0,63.0,natural_gas,1.0
977,1,Household heating => 70F,hours,9.0,65.0,natural_gas,1.0
977,1,Household heating < 70F,hours,3.0,85.0,natural_gas,1.0
978,1,Household heating => 70F,count,2.0,72.0,natural_gas,1.0
978,1,Household heating < 70F,count,3.0,79.0,natural_gas,1.0
979,1,Household heating => 70F,hours,3.0,93.0,natural_gas,1.0
979,1,Household heating < 70F,hours,1.0,87.0,natural_gas,1.0
980,1,Household heating => 70F,count,2.0,91.0,natural_gas,1.0
980,1,Household heating < 70F,count,9.0,84.0,natural_gas,1.0
981,1,Household heating => 70F,hours,8.0,67.0,natural_gas,1.0
981,1,Household heating < 70F,hours,4.0,92.0,natural_gas,1.0
982,1,Household heating => 70F,count,6.0,65.0,natural_gas,1.0
982,1,Household heating < 70F,count,8.0,90.0,natural_gas,1.0
983,1,Household heating => 70F,hours,1.0,76.0,natural_gas,1.0
983,1,Household heating < 70F,hours,5.0,82.0,natural_gas,1.0
984,1,Household heating => 70F,count,2.0,83.0,natural_gas,1.0
984,1,Household heating < 70F,count,2.0,68.0,natural_gas,1.0
985,1,Household heating => 70F,hours,10.0,86.0,natural_gas,1.0
985,1,Household heating < 70F,hours,7.0,84.0,natural_gas,1.0
986,1,Household heating => 70F,count,3.0,84.0,natural_gas,1.0
986,1,Household heating < 70F,count,8.0,64.0,natural_gas,1.0
987,1,Household heating => 70F,hours,7.0,83.0,natural_gas,1.0
987,1,Household heating < 70F,hours,9.0,67.0,natural_gas,1.0
988,1,Household heating => 70F,count,7.0,84.0,natural_gas,1.0
988,1,Household heating < 70F,count,1.0,74.0,natural_gas,1.0
989,1,Household heating => 70F,hours,1.0,83.0,natural_gas,1.0
989,1,Household heating < 70F,hours,1.0,83.0,natural_gas,1.0
990,1,Household heating => 70F,count,6.0,79.0,natural_gas,1.0
990,1,Household heating < 70F,count,9.0,88.0,natural_gas,1.0
991,1,Household heating => 70F,hours,6.0,77.0,natural_gas,1.0
991,1,Household heating < 70F,hours,6.0,85.0,natural_gas,1.0
992,1,Household heating => 70F,count,10.0,88.0,natural_gas,1.0
992,1,Household heating < 70F,count,4.0,89.0,natural_gas,1.0
993,1,Household heating => 70F,hours,10.0,92.0,natural_gas,1.0
993,1,Household heating < 70F,hours,2.0,64.0,natural_gas,1.0
994,1,Household heating => 70F,count,9.0,89.0,natural_gas,1.0
994,1,Household heating < 70F,count,7.0,77.0,natural_gas,1.0
995,1,Household heating => 70F,hours,10.0,80.0,natural_gas,1.0
995,1,Household heating < 70F,hours,6.0,69.0,natural_gas,1.0
996,1,Household heating => 70F,count,7.0,82.0,natural_gas,1.0
996,1,Household heating < 70F,count,6.0,63.0,natural_gas,1.0
997,1,Household heating => 70F,hours,3.0,83.0,natural_gas,1.0
997,1,Household heating < 70F,hours,4.0,91.0,natural_gas,1.0
998,1,Household heating => 70F,count,4.0,78.0,natural_gas,1.0
998,1,Household heating < 70F,count,2.0,89.0,natural_gas,1.0
999,1,Household heating => 70F,hours,5.0,77.0,natural_gas,1.0
999,1,Household heating < 70F,hours,8.0,89.0,natural_gas,1.0
1000,1,Household heating => 70F,count,8.0,93.0,natural_gas,1.0
1000,1,Household heating < 70F,count,8.0,72.0,natural_gas,1.0
1001,1,Household heating => 70F,hours,6.0,65.0,natural_gas,1.0
1001,1,Household heating < 70F,hours,1.0,71.0,natural_gas,1.0
1002,1,Household heating => 70F,count,1.0,82.0,natural_gas,1.0
1002,1,Household heating < 70F,count,2.0,83.0,natural_gas,1.0
8,3,use of  oven,count,10.0,36.0,hybrid,1.0
13,1,Household heating => 70F,hours,1.0,80.0,hybrid,1.0
15,2,shower - long (> 3 min),count,28.0,72.0,hybrid,1.0
22,3,use of self-clean feature of electric oven,count,4.0,19.0,hybrid,1.0
23,3,use of self-clean feature of electric oven,count,3.0,13.0,hybrid,1.0
27,2,shower - long (> 3 min),count,25.0,72.0,hybrid,1.0
28,2,shower - long (> 3 min),count,12.0,72.0,hybrid,1.0
40,1,Household heating => 70F,count,3.0,86.0,hybrid,1.0
44,2,shower - short,count,3.0,94.0,hybrid,1.0
45,2,wash-up,count,53.0,40.0,hybrid,1.0
46,2,wash-up,count,53.0,42.0,hybrid,1.0
46,3,use of clothes dryer,count,1.0,15.0,hybrid,1.0
60,1,Use of air conditioner,count,16.0,58.0,hybrid,1.0
63,3,use of clothes washer,count,7.0,39.0,hybrid,1.0
70,1,Household heating => 70F,count,1.0,74.0,hybrid,1.0
81,1,Household heating < 70F,hours,7.0,62.0,hybrid,1.0
82,3,use of clothes washer,count,6.0,31.0,hybrid,1.0
89,3,use of clothes washer,count,7.0,41.0,hybrid,1.0
90,2,wash-up,count,38.0,36.0,hybrid,1.0
91,2,wash-up,count,36.0,28.0,hybrid,1.0
95,3,use of clothes washer,count,3.0,31.0,hybrid,1.0
95,3,use of  oven,count,10.0,32.0,hybrid,1.0
96,3,use of  oven,count,10.0,35.0,hybrid,1.0
97,2,shower - long (> 3 min),count,20.0,83.0,hybrid,1.0
103,1,Household heating < 70F,hours,1.0,69.0,hybrid,1.0
106,1,Use of air conditioner,count,18.0,49.0,hybrid,1.0
106,2,shower - long (> 3 min),count,11.0,83.0,hybrid,1.0
108,3,use of clothes washer,count,5.0,34.0,hybrid,1.0
118,1,Use of air conditioner,count,30.0,57.0,hybrid,1.0
120,3,use of  oven,count,11.0,40.0,hybrid,1.0
124,1,Use of air conditioner,count,31.0,55.0,hybrid,1.0
130,3,use of self-clean feature of electric oven,count,1.0,18.0,hybrid,1.0
131,3,use of  oven,count,10.0,38.0,hybrid,1.0
136,2,shower - short,count,3.0,89.0,hybrid,1.0
138,2,wash-up,count,47.0,43.0,hybrid,1.0
142,4,TV/computer use,count,60.0,21.0,hybrid,1.0
144,4,TV/computer use,count,64.0,23.0,hybrid,1.0
145,4,TV/computer use,count,59.0,27.0,hybrid,1.0
153,2,shower - short,count,7.0,88.0,hybrid,1.0
154,1,Use of air conditioner,count,26.0,50.0,hybrid,1.0
156,3,use of clothes dryer,count,1.0,20.0,hybrid,1.0
162,2,wash-up,count,34.0,33.0,hybrid,1.0
165,1,Household heating < 70F,hours,3.0,65.0,hybrid,1.0
167,3,use of clothes dryer,count,2.0,19.0,hybrid,1.0
169,2,shower - long (> 3 min),count,21.0,76.0,hybrid,1.0
170,2,wash-up,count,45.0,31.0,hybrid,1.0
177,2,shower - long (> 3 min),count,25.0,88.0,hybrid,1.0
184,1,Household heating => 70F,count,4.0,75.0,hybrid,1.0
186,3,use of clothes washer,count,8.0,33.0,hybrid,1.0
187,3,use of  oven,count,10.0,38.0,hybrid,1.0
197,2,shower - short,count,8.0,86.0,hybrid,1.0
198,2,wash-up,count,32.0,40.0,hybrid,1.0
209,1,Use of air conditioner,hours,28.0,53.0,hybrid,1.0
214,2,wash-up,count,35.0,40.0,hybrid,1.0
215,3,use of clothes washer,count,2.0,48.0,hybrid,1.0
218,2,shower - short,count,6.0,82.0,hybrid,1.0
220,3,use of  oven,count,11.0,39.0,hybrid,1.0
230,2,shower - long (> 3 min),count,15.0,84.0,hybrid,1.0
233,3,use of clothes washer,count,5.0,39.0,hybrid,1.0
238,3,use of  oven,count,11.0,38.0,hybrid,1.0
239,2,shower - short,count,6.0,84.0,hybrid,1.0
240,2,wash-up,count,43.0,38.0,hybrid,1.0
241,2,wash-up,count,47.0,40.0,hybrid,1.0
244,2,wash-up,count,36.0,29.0,hybrid,1.0
250,2,shower - short,count,3.0,84.0,hybrid,1.0
252,2,shower - short,count,8.0,97.0,hybrid,1.0
255,3,use of clothes dryer,count,3.0,17.0,hybrid,1.0
258,4,TV/computer use,count,61.0,25.0,hybrid,1.0
265,1,Household heating < 70F,hours,5.0,62.0,hybrid,1.0
268,1,Use of air conditioner,count,12.0,46.0,hybrid,1.0
270,1,Household heating => 70F,count,7.0,77.0,hybrid,1.0
276,3,use of  oven,count,9.0,34.0,hybrid,1.0
279,4,TV/computer use,count,62.0,27.0,hybrid,1.0
282,2,shower - short,count,5.0,90.0,hybrid,1.0
283,1,Household heating < 70F,hours,2.0,83.0,hybrid,1.0
288,2,shower - short,count,8.0,85.0,hybrid,1.0
293,1,Household heating < 70F,hours,8.0,82.0,hybrid,1.0
303,2,shower - short,count,5.0,87.0,hybrid,1.0
306,1,Use of air conditioner,count,14.0,49.0,hybrid,1.0
311,3,use of clothes washer,count,8.0,34.0,hybrid,1.0
311,3,use of  oven,count,9.0,38.0,hybrid,1.0
321,2,shower - short,count,5.0,88.0,hybrid,1.0
323,3,use of  oven,count,9.0,35.0,hybrid,1.0
328,3,use of clothes washer,count,4.0,36.0,hybrid,1.0
331,1,Use of air conditioner,hours,26.0,46.0,hybrid,1.0
333,1,Use of air conditioner,hours,15.0,39.0,hybrid,1.0
337,2,wash-up,count,50.0,32.0,hybrid,1.0
342,3,use of self-clean feature of electric oven,count,4.0,15.0,hybrid,1.0
342,4,TV/computer use,count,59.0,22.0,hybrid,1.0
347,4,TV/computer use,count,64.0,27.0,hybrid,1.0
349,3,use of  oven,count,10.0,37.0,hybrid,1.0
350,3,use of clothes washer,count,7.0,27.0,hybrid,1.0
359,2,wash-up,count,43.0,38.0,hybrid,1.0
360,3,use of clothes dryer,count,4.0,12.0,hybrid,1.0
371,1,Household heating < 70F,hours,10.0,69.0,hybrid,1.0
374,3,use of self-clean feature of electric oven,count,3.0,17.0,hybrid,1.0
375,4,TV/computer use,count,63.0,28.0,hybrid,1.0
376,1,Household heating => 70F,count,1.0,79.0,hybrid,1.0
376,3,use of clothes dryer,count,1.0,17.0,hybrid,1.0
384,1,Use of air conditioner,count,17.0,49.0,hybrid,1.0
388,1,Household heating < 70F,count,7.0,91.0,hybrid,1.0
389,2,shower - short,count,4.0,93.0,hybrid,1.0
401,1,Use of air conditioner,hours,13.0,50.0,hybrid,1.0
406,3,use of self-clean feature of electric oven,count,4.0,14.0,hybrid,1.0
407,4,TV/computer use,count,63.0,22.0,hybrid,1.0
410,2,wash-up,count,50.0,33.0,hybrid,1.0
413,1,Household heating < 70F,hours,4.0,84.0,hybrid,1.0
426,3,use of  oven,count,12.0,37.0,hybrid,1.0
434,1,Use of air conditioner,count,27.0,54.0,hybrid,1.0
434,3,use of self-clean feature of electric oven,count,2.0,20.0,hybrid,1.0
435,3,use of  oven,count,12.0,32.0,hybrid,1.0
439,2,wash-up,count,54.0,33.0,hybrid,1.0
449,2,shower - short,count,6.0,93.0,hybrid,1.0
450,1,Use of air conditioner,count,23.0,42.0,hybrid,1.0
453,3,use of clothes dryer,count,3.0,20.0,hybrid,1.0
462,3,use of  oven,count,12.0,32.0,hybrid,1.0
470,4,TV/computer use,count,59.0,30.0,hybrid,1.0
474,2,wash-up,count,43.0,38.0,hybrid,1.0
474,3,use of clothes dryer,count,1.0,18.0,hybrid,1.0
475,1,Use of air conditioner,hours,19.0,54.0,hybrid,1.0
478,2,shower - short,count,6.0,97.0,hybrid,1.0
479,3,use of self-clean feature of electric oven,count,4.0,21.0,hybrid,1.0
484,2,shower - short,count,6.0,85.0,hybrid,1.0
501,3,use of  oven,count,8.0,40.0,hybrid,1.0
502,1,Use of air conditioner,count,30.0,47.0,hybrid,1.0
511,2,wash-up,count,32.0,41.0,hybrid,1.0
512,1,Household heating < 70F,count,4.0,78.0,hybrid,1.0
520,1,Household heating => 70F,count,5.0,82.0,hybrid,1.0
523,2,shower - long (> 3 min),count,20.0,84.0,hybrid,1.0
523,3,use of clothes washer,count,2.0,31.0,hybrid,1.0
527,3,use of clothes washer,count,3.0,41.0,hybrid,1.0
543,3,use of clothes dryer,count,4.0,15.0,hybrid,1.0
548,3,use of clothes dryer,count,1.0,18.0,hybrid,1.0
549,1,Household heating => 70F,hours,3.0,90.0,hybrid,1.0
551,1,Household heating < 70F,hours,6.0,87.0,hybrid,1.0
560,1,Use of air conditioner,count,22.0,50.0,hybrid,1.0
560,2,wash-up,count,37.0,30.0,hybrid,1.0
563,3,use of clothes washer,count,4.0,42.0,hybrid,1.0
564,2,wash-up,count,39.0,26.0,hybrid,1.0
566,3,use of clothes washer,count,5.0,29.0,hybrid,1.0
587,3,use of  oven,count,11.0,34.0,hybrid,1.0
587,4,TV/computer use,count,63.0,26.0,hybrid,1.0
588,4,TV/computer use,count,61.0,27.0,hybrid,1.0
590,1,Household heating < 70F,count,7.0,85.0,hybrid,1.0
600,3,use of  oven,count,9.0,33.0,hybrid,1.0
607,2,shower - long (> 3 min),count,11.0,88.0,hybrid,1.0
619,3,use of clothes washer,count,6.0,27.0,hybrid,1.0
632,3,use of clothes washer,count,3.0,39.0,hybrid,1.0
639,3,use of  oven,count,12.0,33.0,hybrid,1.0
642,2,shower - long (> 3 min),count,19.0,73.0,hybrid,1.0
642,3,use of clothes washer,count,2.0,37.0,hybrid,1.0
643,1,Household heating < 70F,hours,7.0,64.0,hybrid,1.0
643,4,TV/computer use,count,60.0,26.0,hybrid,1.0
646,2,wash-up,count,34.0,25.0,hybrid,1.0
646,3,use of clothes dryer,count,3.0,12.0,hybrid,1.0
649,1,Household heating => 70F,hours,4.0,82.0,hybrid,1.0
649,3,use of self-clean feature of electric oven,count,4.0,16.0,hybrid,1.0
653,1,Use of air conditioner,hours,16.0,51.0,hybrid,1.0
655,1,Use of air conditioner,hours,28.0,40.0,hybrid,1.0
667,2,shower - short,count,4.0,82.0,hybrid,1.0
671,3,use of clothes dryer,count,1.0,16.0,hybrid,1.0
677,3,use of  oven,count,11.0,38.0,hybrid,1.0
677,4,TV/computer use,count,61.0,24.0,hybrid,1.0
679,2,wash-up,count,47.0,37.0,hybrid,1.0
679,3,use of clothes dryer,count,1.0,11.0,hybrid,1.0
687,2,shower - short,count,2.0,91.0,hybrid,1.0
688,3,use of self-clean feature of electric oven,count,1.0,18.0,hybrid,1.0
689,2,shower - long (> 3 min),count,19.0,85.0,hybrid,1.0
692,1,Household heating => 70F,count,10.0,76.0,hybrid,1.0
695,1,Household heating < 70F,hours,7.0,66.0,hybrid,1.0
703,3,use of clothes dryer,count,2.0,17.0,hybrid,1.0
709,3,use of self-clean feature of electric oven,count,1.0,17.0,hybrid,1.0
712,3,use of self-clean feature of electric oven,count,3.0,21.0,hybrid,1.0
716,1,Household heating => 70F,count,4.0,85.0,hybrid,1.0
725,2,shower - short,count,3.0,93.0,hybrid,1.0
729,2,shower - short,count,3.0,96.0,hybrid,1.0
736,1,Use of heat pump,count,-1.0,52.0,hybrid,1.0
738,2,shower - long (> 3 min),count,30.0,92.0,hybrid,1.0
739,1,Use of air conditioner,hours,18.0,53.0,hybrid,1.0
740,4,TV/computer use,count,62.0,28.0,hybrid,1.0
744,2,shower - long (> 3 min),count,22.0,79.0,hybrid,1.0
745,3,use of self-clean feature of electric oven,count,4.0,19.0,hybrid,1.0
745,4,TV/computer use,count,63.0,22.0,hybrid,1.0
755,3,use of clothes washer,count,4.0,38.0,hybrid,1.0
759,3,use of clothes washer,count,4.0,39.0,hybrid,1.0
765,2,wash-up,count,49.0,31.0,hybrid,1.0
767,3,use of self-clean feature of electric oven,count,4.0,11.0,hybrid,1.0
769,1,Household heating < 70F,hours,10.0,79.0,hybrid,1.0
772,1,Household heating < 70F,count,9.0,60.0,hybrid,1.0
780,3,use of clothes dryer,count,4.0,17.0,hybrid,1.0
783,1,Household heating => 70F,hours,2.0,65.0,hybrid,1.0
783,1,Household heating < 70F,hours,9.0,88.0,hybrid,1.0
783,2,wash-up,count,53.0,24.0,hybrid,1.0
787,1,Household heating < 70F,hours,7.0,76.0,hybrid,1.0
796,1,Household heating => 70F,count,3.0,68.0,hybrid,1.0
798,1,Household heating < 70F,count,10.0,87.0,hybrid,1.0
802,3,use of dishwasher,count,14.0,21.0,hybrid,1.0
804,1,Use of air conditioner,count,26.0,41.0,hybrid,1.0
805,1,Household heating < 70F,hours,10.0,65.0,hybrid,1.0
815,2,shower - short,count,8.0,85.0,hybrid,1.0
816,2,shower - long (> 3 min),count,36.0,79.0,hybrid,1.0
822,1,Use of air conditioner,count,12.0,51.0,hybrid,1.0
825,1,Household heating < 70F,hours,5.0,81.0,hybrid,1.0
825,2,shower - long (> 3 min),count,36.0,84.0,hybrid,1.0
828,3,use of self-clean feature of electric oven,count,4.0,11.0,hybrid,1.0
832,2,shower - long (> 3 min),count,38.0,75.0,hybrid,1.0
837,4,TV/computer use,count,59.0,24.0,hybrid,1.0
838,3,use of clothes washer,count,6.0,33.0,hybrid,1.0
842,3,use of clothes dryer,count,4.0,14.0,hybrid,1.0
844,1,Household heating => 70F,count,6.0,66.0,hybrid,1.0
844,4,TV/computer use,count,60.0,25.0,hybrid,1.0
847,3,use of  oven,count,8.0,35.0,hybrid,1.0
848,3,use of  oven,count,10.0,39.0,hybrid,1.0
849,3,use of clothes washer,count,6.0,29.0,hybrid,1.0
853,3,use of self-clean feature of electric oven,count,4.0,19.0,hybrid,1.0
855,2,wash-up,count,38.0,30.0,hybrid,1.0
861,1,Household heating < 70F,hours,4.0,80.0,hybrid,1.0
875,4,TV/computer use,count,58.0,30.0,hybrid,1.0
876,2,shower - long (> 3 min),count,16.0,91.0,hybrid,1.0
877,3,use of  oven,count,12.0,39.0,hybrid,1.0
883,2,shower - short,count,8.0,82.0,hybrid,1.0
883,3,use of clothes dryer,count,4.0,19.0,hybrid,1.0
890,1,Household heating < 70F,count,6.0,65.0,hybrid,1.0
891,2,wash-up,count,34.0,35.0,hybrid,1.0
893,3,use of clothes washer,count,4.0,35.0,hybrid,1.0
898,2,wash-up,count,48.0,33.0,hybrid,1.0
900,1,Use of air conditioner,count,17.0,55.0,hybrid,1.0
921,2,wash-up,count,43.0,33.0,hybrid,1.0
929,3,use of clothes washer,count,8.0,46.0,hybrid,1.0
929,4,TV/computer use,count,59.0,29.0,hybrid,1.0
933,3,use of clothes washer,count,7.0,37.0,hybrid,1.0
934,3,use of  oven,count,12.0,39.0,hybrid,1.0
935,2,shower - short,count,8.0,82.0,hybrid,1.0
941,3,use of clothes washer,count,7.0,31.0,hybrid,1.0
941,4,TV/computer use,count,58.0,22.0,hybrid,1.0
948,3,use of self-clean feature of electric oven,count,2.0,19.0,hybrid,1.0
949,1,Household heating < 70F,hours,7.0,66.0,hybrid,1.0
950,3,use of clothes dryer,count,3.0,13.0,hybrid,1.0
952,4,TV/computer use,count,60.0,23.0,hybrid,1.0
953,1,Use of air conditioner,hours,28.0,51.0,hybrid,1.0
960,1,Household heating => 70F,count,1.0,92.0,hybrid,1.0
960,3,use of clothes washer,count,4.0,37.0,hybrid,1.0
960,3,use of clothes dryer,count,4.0,14.0,hybrid,1.0
962,2,shower - long (> 3 min),count,23.0,91.0,hybrid,1.0
962,2,wash-up,count,54.0,38.0,hybrid,1.0
964,3,use of clothes washer,count,5.0,43.0,hybrid,1.0
965,4,TV/computer use,count,60.0,31.0,hybrid,1.0
969,3,use of clothes washer,count,3.0,41.0,hybrid,1.0
969,3,use of clothes dryer,count,1.0,11.0,hybrid,1.0
975,1,Household heating < 70F,hours,3.0,62.0,hybrid,1.0
975,3,use of  oven,count,10.0,37.0,hybrid,1.0
979,3,use of clothes dryer,count,3.0,12.0,hybrid,1.0
980,3,use of clothes dryer,count,4.0,13.0,hybrid,1.0
983,3,use of clothes dryer,count,2.0,16.0,hybrid,1.0
987,2,wash-up,count,33.0,34.0,hybrid,1.0
989,3,use of self-clean feature of electric oven,count,1.0,12.0,hybrid,1.0
990,3,use of self-clean feature of electric oven,count,4.0,15.0,hybrid,1.0
991,1,Use of air conditioner,hours,15.0,44.0,hybrid,1.0
991,3,use of  oven,count,10.0,35.0,hybrid,1.0
992,2,shower - long (> 3 min),count,16.0,80.0,hybrid,1.0
994,1,Use of air conditioner,count,23.0,41.0,hybrid,1.0
994,2,shower - long (> 3 min),count,30.0,92.0,hybrid,1.0
1002,2,shower - short,count,8.0,84.0,hybrid,1.0
5,3,use of clothes washer,count,7.0,41.0,electric___peak_hours,1.0
6,2,shower - short,count,8.0,97.0,electric___peak_hours,1.0
6,3,use of clothes dryer,count,2.0,20.0,electric___peak_hours,1.0
9,1,Household heating < 70F,hours,6.0,89.0,electric___peak_hours,1.0
11,4,TV/computer use,count,64.0,30.0,electric___peak_hours,1.0
17,3,use of  oven,count,11.0,41.0,electric___peak_hours,1.0
24,1,Household heating => 70F,count,3.0,77.0,electric___peak_hours,1.0
26,1,Use of air conditioner,count,24.0,56.0,electric___peak_hours,1.0
31,1,Use of air conditioner,hours,25.0,49.0,electric___peak_hours,1.0
34,1,Household heating < 70F,count,6.0,77.0,electric___peak_hours,1.0
43,1,Household heating < 70F,hours,1.0,66.0,electric___peak_hours,1.0
47,2,shower - short,count,8.0,92.0,electric___peak_hours,1.0
50,1,Household heating => 70F,count,1.0,69.0,electric___peak_hours,1.0
50,3,use of self-clean feature of electric oven,count,3.0,17.0,electric___peak_hours,1.0
52,4,TV/computer use,count,64.0,24.0,electric___peak_hours,1.0
57,2,wash-up,count,51.0,42.0,electric___peak_hours,1.0
61,1,Use of air conditioner,hours,23.0,39.0,electric___peak_hours,1.0
66,3,use of clothes dryer,count,4.0,19.0,electric___peak_hours,1.0
71,2,shower - long (> 3 min),count,30.0,78.0,electric___peak_hours,1.0
72,1,Use of air conditioner,count,19.0,41.0,electric___peak_hours,1.0
76,1,Household heating < 70F,count,5.0,89.0,electric___peak_hours,1.0
77,2,wash-up,count,41.0,32.0,electric___peak_hours,1.0
78,2,wash-up,count,36.0,24.0,electric___peak_hours,1.0
80,2,shower - short,count,4.0,85.0,electric___peak_hours,1.0
87,2,shower - short,count,5.0,95.0,electric___peak_hours,1.0
91,1,Use of air conditioner,hours,14.0,40.0,electric___peak_hours,1.0
93,1,Use of air conditioner,hours,16.0,39.0,electric___peak_hours,1.0
104,3,use of self-clean feature of electric oven,count,1.0,16.0,electric___peak_hours,1.0
110,3,use of  oven,count,8.0,31.0,electric___peak_hours,1.0
119,3,use of clothes dryer,count,3.0,19.0,electric___peak_hours,1.0
120,1,Use of air conditioner,count,19.0,44.0,electric___peak_hours,1.0
126,2,wash-up,count,45.0,33.0,electric___peak_hours,1.0
129,3,use of clothes washer,count,5.0,41.0,electric___peak_hours,1.0
138,2,shower - short,count,3.0,96.0,electric___peak_hours,1.0
142,2,wash-up,count,32.0,42.0,electric___peak_hours,1.0
158,1,Household heating => 70F,count,8.0,72.0,electric___peak_hours,1.0
162,1,Household heating => 70F,count,3.0,68.0,electric___peak_hours,1.0
167,1,Household heating < 70F,hours,10.0,73.0,electric___peak_hours,1.0
169,3,use of self-clean feature of electric oven,count,1.0,16.0,electric___peak_hours,1.0
175,2,shower - long (> 3 min),count,40.0,85.0,electric___peak_hours,1.0
175,2,wash-up,count,38.0,40.0,electric___peak_hours,1.0
176,1,Household heating < 70F,count,7.0,66.0,electric___peak_hours,1.0
178,3,use of clothes dryer,count,4.0,15.0,electric___peak_hours,1.0
185,1,Household heating => 70F,hours,10.0,72.0,electric___peak_hours,1.0
185,4,TV/computer use,count,58.0,22.0,electric___peak_hours,1.0
187,2,wash-up,count,55.0,41.0,electric___peak_hours,1.0
189,2,wash-up,count,48.0,39.0,electric___peak_hours,1.0
206,3,use of clothes washer,count,4.0,37.0,electric___peak_hours,1.0
206,3,use of self-clean feature of electric oven,count,1.0,17.0,electric___peak_hours,1.0
209,1,Household heating < 70F,hours,7.0,62.0,electric___peak_hours,1.0
213,3,use of clothes washer,count,7.0,36.0,electric___peak_hours,1.0
221,1,Household heating < 70F,hours,3.0,72.0,electric___peak_hours,1.0
222,3,use of self-clean feature of electric oven,count,4.0,14.0,electric___peak_hours,1.0
237,1,Use of heat pump,hours,-5.0,40.0,electric___peak_hours,1.0
240,2,shower - long (> 3 min),count,13.0,76.0,electric___peak_hours,1.0
241,1,Household heating < 70F,hours,7.0,88.0,electric___peak_hours,1.0
261,3,use of  oven,count,10.0,38.0,electric___peak_hours,1.0
262,3,use of clothes washer,count,7.0,28.0,electric___peak_hours,1.0
270,3,use of clothes dryer,count,2.0,19.0,electric___peak_hours,1.0
274,1,Household heating < 70F,count,7.0,91.0,electric___peak_hours,1.0
286,3,use of self-clean feature of electric oven,count,3.0,15.0,electric___peak_hours,1.0
290,2,shower - short,count,2.0,83.0,electric___peak_hours,1.0
308,1,Household heating => 70F,count,5.0,84.0,electric___peak_hours,1.0
310,3,use of self-clean feature of electric oven,count,2.0,21.0,electric___peak_hours,1.0
312,1,Household heating => 70F,count,1.0,62.0,electric___peak_hours,1.0
312,2,shower - long (> 3 min),count,27.0,78.0,electric___peak_hours,1.0
316,2,wash-up,count,32.0,26.0,electric___peak_hours,1.0
318,2,shower - long (> 3 min),count,21.0,92.0,electric___peak_hours,1.0
322,4,TV/computer use,count,59.0,27.0,electric___peak_hours,1.0
329,1,Use of air conditioner,hours,17.0,39.0,electric___peak_hours,1.0
331,1,Household heating => 70F,hours,3.0,92.0,electric___peak_hours,1.0
341,1,Household heating < 70F,hours,7.0,70.0,electric___peak_hours,1.0
343,4,TV/computer use,count,62.0,21.0,electric___peak_hours,1.0
346,4,TV/computer use,count,63.0,28.0,electric___peak_hours,1.0
355,1,Use of air conditioner,hours,19.0,45.0,electric___peak_hours,1.0
360,3,use of clothes washer,count,4.0,46.0,electric___peak_hours,1.0
369,2,shower - short,count,4.0,96.0,electric___peak_hours,1.0
370,1,Use of air conditioner,count,28.0,45.0,electric___peak_hours,1.0
372,3,use of clothes dryer,count,1.0,18.0,electric___peak_hours,1.0
389,3,use of clothes washer,count,6.0,30.0,electric___peak_hours,1.0
393,1,Household heating => 70F,hours,9.0,71.0,electric___peak_hours,1.0
393,1,Household heating < 70F,hours,7.0,72.0,electric___peak_hours,1.0
401,1,Use of air conditioner,hours,13.0,50.0,electric___peak_hours,1.0
402,3,use of self-clean feature of electric oven,count,2.0,18.0,electric___peak_hours,1.0
404,3,use of clothes dryer,count,2.0,13.0,electric___peak_hours,1.0
405,1,Household heating => 70F,hours,6.0,64.0,electric___peak_hours,1.0
422,2,shower - long (> 3 min),count,18.0,72.0,electric___peak_hours,1.0
422,3,use of  oven,count,11.0,32.0,electric___peak_hours,1.0
423,1,Use of heat pump,hours,-2.0,51.0,electric___peak_hours,1.0
425,3,use of clothes washer,count,5.0,36.0,electric___peak_hours,1.0
438,1,Household heating => 70F,count,1.0,68.0,electric___peak_hours,1.0
446,1,Household heating => 70F,count,9.0,64.0,electric___peak_hours,1.0
449,2,wash-up,count,53.0,24.0,electric___peak_hours,1.0
454,2,shower - long (> 3 min),count,21.0,75.0,electric___peak_hours,1.0
463,3,use of clothes dryer,count,1.0,14.0,electric___peak_hours,1.0
463,4,TV/computer use,count,61.0,26.0,electric___peak_hours,1.0
468,3,use of clothes dryer,count,3.0,14.0,electric___peak_hours,1.0
469,2,shower - short,count,3.0,92.0,electric___peak_hours,1.0
474,3,use of  oven,count,12.0,35.0,electric___peak_hours,1.0
